SaleID,Date,ProductID,CustomerID,EmployeeID,BranchID,Qty,UnitPrice,Discount,PaymentMethod,DeliveryType,Rating
57,1/15/2023,12,5234,179,4,3,436,1,Mada,Standard,2.8
58,2/4/2023,364,39,198,3,4,368,1,Visa,Standard,4.5
59,11/12/2024,156,4110,56,5,2,563,16,Mada,Express,4.7
60,11/22/2023,299,5355,146,11,2,297,28,Apple Pay,Standard,3.9
61,3/22/2023,75,4450,166,12,4,668,8,Mada,Express,4.2
62,3/4/2023,367,1027,289,18,4,679,29,Mada,Standard,3
63,8/25/2024,67,4191,63,11,2,461,3,Cash On Delivery,Same Day,2.8
64,6/11/2023,50,4105,158,17,2,771,24,Mada,Standard,3.5
65,5/15/2023,176,2023,70,14,1,607,12,Cash On Delivery,Standard,3.9
66,3/20/2023,265,1054,46,2,1,366,5,Apple Pay,Express,4.9
67,8/16/2024,12,6252,63,14,4,436,10,Visa,Standard,5
68,8/15/2023,334,8985,238,8,2,655,23,Apple Pay,Same Day,3.8
69,10/16/2023,51,6441,151,8,3,231,28,Apple Pay,Express,4.5
70,10/20/2024,12,914,250,9,5,436,10,Apple Pay,Standard,4.2
71,1/17/2025,441,6017,293,1,3,511,0,Visa,Express,3.8
72,2/11/2024,36,2497,224,18,2,356,10,Cash On Delivery,Same Day,2.9
73,4/23/2024,14,4698,257,16,2,630,30,Mada,Express,4.6
74,1/28/2025,191,7546,299,3,3,598,28,Mada,Same Day,3.3
75,1/1/2024,47,6031,283,10,5,242,5,Cash On Delivery,Same Day,3.1
76,5/10/2024,163,3249,72,5,1,554,4,Visa,Express,3.2
77,7/1/2024,269,979,246,6,5,547,21,Apple Pay,Express,4.7
78,1/29/2024,317,5151,39,15,2,311,24,Mada,Standard,4.1
79,11/16/2023,369,5499,135,5,1,693,26,Cash On Delivery,Standard,4.4
80,2/19/2025,126,6222,55,10,3,713,4,Visa,Express,2.7
81,8/13/2023,31,257,71,9,1,366,0,Mada,Express,3
82,7/9/2023,145,1371,218,10,3,472,9,Apple Pay,Same Day,4.1
83,11/10/2024,258,2263,15,12,3,460,23,Apple Pay,Same Day,4.9
84,1/28/2025,13,5010,65,14,1,590,18,Cash On Delivery,Same Day,4.1
85,1/23/2025,334,8490,243,20,5,655,29,Cash On Delivery,Standard,3
86,3/7/2023,207,3469,224,10,1,710,11,Mada,Same Day,4.2
87,1/25/2024,403,7401,149,20,5,351,5,Cash On Delivery,Standard,3.5
88,1/27/2023,112,657,290,14,5,649,14,Mada,Express,4
89,11/4/2024,145,5836,256,11,1,472,20,Apple Pay,Express,2.6
90,1/19/2025,34,4620,74,16,1,622,4,Apple Pay,Standard,3.4
91,8/4/2023,292,9043,115,8,2,448,2,Visa,Express,3
92,1/26/2025,209,7728,39,14,4,490,9,Visa,Same Day,4
93,9/10/2024,21,8636,250,4,1,541,25,Visa,Express,4.5
94,4/9/2024,61,2104,190,16,5,692,7,Mada,Express,3.7
95,1/11/2023,165,2979,189,17,4,552,12,Visa,Express,3
96,3/27/2025,446,8348,92,10,3,754,17,Visa,Standard,3.4
97,4/11/2025,298,4607,106,15,1,602,14,Cash On Delivery,Same Day,4.7
98,10/4/2024,266,1073,12,12,4,581,2,Cash On Delivery,Standard,3.1
99,6/9/2023,158,7985,143,2,1,678,26,Visa,Standard,4
100,3/28/2024,88,9953,142,10,2,388,26,Apple Pay,Same Day,3.5
101,7/5/2024,490,6509,27,10,3,812,25,Cash On Delivery,Express,2.8
102,6/22/2024,269,2766,39,14,1,547,23,Cash On Delivery,Standard,3.6
103,10/23/2023,113,9636,152,15,4,363,13,Cash On Delivery,Standard,4.4
104,12/9/2024,192,3971,65,15,2,605,20,Mada,Standard,3.8
105,3/1/2024,412,8119,267,4,3,481,10,Visa,Express,4.5
106,12/18/2023,406,7180,172,9,3,621,19,Cash On Delivery,Standard,4.5
107,5/2/2024,371,7242,236,20,1,676,20,Mada,Same Day,4.1
108,1/21/2023,192,1168,173,7,1,605,15,Apple Pay,Express,4.4
109,6/26/2023,135,5759,54,5,4,684,18,Apple Pay,Express,4.1
110,4/3/2024,295,2084,284,12,4,360,8,Mada,Same Day,3.4
111,5/25/2024,404,7687,84,11,1,850,9,Visa,Same Day,3.3
112,2/16/2025,473,4419,207,10,2,572,6,Cash On Delivery,Same Day,2.9
113,7/9/2023,382,2084,70,5,1,494,1,Visa,Express,2.5
114,4/13/2024,150,2654,293,13,1,404,12,Visa,Express,4.3
115,4/17/2024,489,6872,55,9,5,603,1,Cash On Delivery,Same Day,4.9
116,2/26/2023,225,9398,88,12,1,713,7,Apple Pay,Express,4.3
117,3/19/2025,176,2939,200,20,2,607,1,Visa,Standard,2.5
118,8/4/2024,373,6362,178,2,4,337,29,Mada,Standard,4.3
119,10/7/2023,172,5755,277,17,3,368,4,Apple Pay,Same Day,3.1
120,1/30/2025,465,447,136,3,1,643,25,Mada,Standard,2.9
121,2/18/2024,276,559,292,13,4,643,9,Mada,Same Day,2.9
122,5/3/2023,485,7640,96,4,3,452,10,Mada,Standard,3.4
123,1/29/2023,303,5527,92,19,4,460,16,Cash On Delivery,Same Day,3.1
124,7/2/2023,487,2941,139,7,3,703,1,Cash On Delivery,Express,4.8
125,4/13/2024,112,2759,41,2,4,649,5,Apple Pay,Standard,3.7
126,7/17/2023,317,6558,171,17,5,311,15,Visa,Express,3.9
127,3/3/2025,204,6421,17,3,4,738,28,Cash On Delivery,Standard,4.7
128,2/28/2023,231,1935,110,17,5,455,3,Mada,Express,2.6
129,8/1/2023,180,8678,89,19,2,651,7,Visa,Express,2.9
130,10/4/2023,239,4695,253,11,1,477,25,Mada,Same Day,4.1
131,7/17/2024,323,9986,96,9,3,385,12,Visa,Same Day,2.6
132,4/18/2023,433,6489,57,6,4,252,23,Visa,Same Day,4.1
133,7/21/2023,67,9634,240,19,2,461,18,Cash On Delivery,Express,2.8
134,1/29/2025,455,6317,153,13,1,353,19,Mada,Same Day,3.7
135,9/17/2024,195,7001,38,2,2,233,21,Visa,Same Day,3.2
136,5/16/2024,301,7618,23,9,2,723,27,Mada,Express,4
137,1/11/2023,213,3369,235,2,3,543,10,Cash On Delivery,Express,3.1
138,11/14/2024,231,4400,96,9,4,455,24,Visa,Same Day,2.5
139,8/22/2024,276,9719,183,3,1,643,1,Cash On Delivery,Same Day,4.4
140,11/20/2024,375,6624,121,6,2,483,15,Mada,Express,2.7
141,7/4/2023,252,5696,261,11,1,611,19,Apple Pay,Standard,3.6
142,9/3/2024,408,4771,298,3,4,504,30,Apple Pay,Express,2.8
143,7/13/2024,435,4215,73,12,2,576,2,Cash On Delivery,Same Day,4.5
144,2/19/2024,245,6134,200,3,4,765,21,Cash On Delivery,Express,2.9
145,8/30/2023,133,7144,187,17,5,729,13,Mada,Same Day,4
146,6/10/2024,111,3294,121,10,1,320,23,Apple Pay,Same Day,3.8
147,7/6/2023,201,6375,58,12,5,346,13,Cash On Delivery,Same Day,4.1
148,8/25/2024,13,6050,278,1,4,590,13,Visa,Express,2.6
149,1/9/2024,26,222,96,5,4,283,19,Apple Pay,Standard,3.5
150,1/6/2023,417,2546,9,9,4,729,17,Mada,Express,4.7
151,11/29/2024,232,1827,45,9,2,600,6,Cash On Delivery,Same Day,3.6
152,8/15/2024,91,2875,256,19,2,636,20,Apple Pay,Standard,3.5
153,8/7/2024,371,5370,258,20,3,676,8,Apple Pay,Same Day,4.6
154,1/16/2025,380,4040,65,20,2,798,30,Cash On Delivery,Standard,3.9
155,2/9/2025,495,5069,262,7,2,438,0,Cash On Delivery,Express,4.5
156,9/18/2024,264,8231,44,20,3,623,3,Cash On Delivery,Express,4.2
157,7/1/2024,14,9197,260,1,5,630,23,Mada,Same Day,2.5
158,3/24/2024,107,2402,119,13,2,288,8,Visa,Same Day,4.6
159,9/23/2023,96,2230,248,12,5,346,12,Cash On Delivery,Express,4.5
160,6/1/2023,354,1670,248,6,2,747,25,Visa,Same Day,3.1
161,9/25/2024,164,9478,26,4,4,346,6,Apple Pay,Standard,4.8
162,3/29/2023,227,6466,130,12,1,520,10,Mada,Same Day,2.5
163,3/13/2025,205,5325,89,10,5,700,28,Mada,Express,3
164,4/27/2025,218,7607,219,1,3,558,10,Apple Pay,Standard,3.9
165,11/27/2024,203,1532,157,16,1,816,16,Mada,Express,4.8
166,7/17/2023,69,9394,2,15,2,674,3,Mada,Standard,3.2
167,3/4/2025,205,6731,169,12,1,700,29,Apple Pay,Same Day,4
168,1/23/2024,341,7506,261,11,1,674,28,Cash On Delivery,Standard,4.7
169,1/24/2024,182,6758,298,3,5,414,18,Cash On Delivery,Same Day,2.7
170,10/9/2023,95,5020,71,7,4,669,18,Visa,Standard,2.8
171,1/25/2025,149,4407,121,15,1,615,6,Visa,Express,3.2
172,7/22/2023,54,1961,215,5,4,337,15,Cash On Delivery,Same Day,4.4
173,5/29/2023,363,1619,140,5,2,597,27,Apple Pay,Standard,3.3
174,7/16/2023,496,8409,56,19,4,556,2,Mada,Express,3.1
175,4/14/2023,105,513,54,15,3,578,21,Apple Pay,Standard,4.8
176,1/16/2023,277,8293,122,18,3,514,23,Apple Pay,Express,2.9
177,8/1/2023,52,5286,13,10,3,741,2,Apple Pay,Same Day,4.1
178,3/9/2023,375,7201,104,10,2,483,30,Mada,Standard,4.2
179,4/5/2025,324,3205,34,13,2,442,24,Visa,Same Day,3.6
180,9/6/2023,44,8289,184,9,2,304,30,Apple Pay,Same Day,3.3
181,5/25/2023,249,2411,211,18,5,740,1,Cash On Delivery,Standard,2.8
182,12/5/2024,485,681,131,11,5,452,5,Visa,Same Day,3.7
183,12/4/2024,346,1639,286,14,5,376,24,Mada,Same Day,4.4
184,7/20/2023,190,1750,151,20,5,436,29,Visa,Same Day,3.1
185,8/11/2023,215,8476,174,4,2,556,30,Cash On Delivery,Express,4.5
186,3/25/2023,213,7063,239,10,4,543,3,Cash On Delivery,Express,3.3
187,5/10/2024,124,3882,116,15,1,343,12,Cash On Delivery,Express,2.8
188,3/3/2024,359,9921,133,16,1,316,24,Visa,Express,4.5
189,4/14/2025,90,9746,56,15,5,322,9,Mada,Standard,4.2
190,3/12/2024,319,7313,231,5,5,566,4,Mada,Same Day,2.7
191,3/8/2023,221,1733,87,20,2,490,20,Cash On Delivery,Same Day,3.9
192,1/30/2024,454,4225,232,11,5,418,15,Visa,Express,4.7
193,10/15/2024,453,5958,60,20,2,274,11,Apple Pay,Express,3.6
194,2/5/2024,172,1685,168,1,3,368,13,Mada,Same Day,4.3
195,9/9/2024,278,7636,140,2,2,788,4,Cash On Delivery,Same Day,3.3
196,10/9/2024,177,941,226,14,5,288,18,Visa,Express,3.1
197,2/6/2024,183,3222,32,20,3,559,13,Mada,Express,3.8
198,2/12/2025,331,8567,165,6,5,416,5,Apple Pay,Express,4.9
199,8/10/2023,77,5058,219,16,5,167,6,Visa,Standard,4.2
200,4/21/2023,344,9937,187,20,5,559,14,Cash On Delivery,Same Day,3.1
201,6/1/2023,186,2323,263,13,5,473,10,Visa,Express,3.7
202,6/30/2023,209,8235,101,14,4,490,15,Mada,Express,3.7
203,10/14/2024,60,5612,224,12,2,328,19,Visa,Same Day,4.9
204,3/11/2024,311,9309,138,12,1,785,16,Visa,Standard,4.4
205,8/30/2023,66,1002,135,18,4,712,19,Cash On Delivery,Standard,2.9
206,4/2/2024,171,9510,167,9,1,407,6,Visa,Express,2.7
207,6/12/2023,460,1167,290,4,3,288,11,Visa,Same Day,4.3
208,4/18/2024,448,6380,17,19,4,781,4,Visa,Express,3.9
209,2/3/2023,488,5067,185,16,3,689,0,Visa,Express,4.4
210,7/25/2023,355,6033,249,15,1,287,8,Cash On Delivery,Same Day,3.5
211,3/19/2025,417,7235,119,2,4,729,18,Cash On Delivery,Same Day,2.7
212,2/9/2024,331,5794,1,19,1,416,24,Mada,Standard,4.6
213,10/15/2023,12,6687,250,6,2,436,3,Visa,Standard,2.6
214,6/9/2024,61,2506,33,16,1,692,18,Apple Pay,Express,2.6
215,9/25/2024,74,465,163,3,2,775,0,Apple Pay,Standard,4.2
216,3/27/2024,23,4207,33,3,3,460,28,Cash On Delivery,Express,4
217,5/10/2023,29,3943,178,12,3,835,15,Apple Pay,Standard,4
218,12/20/2024,130,4800,254,12,4,747,10,Cash On Delivery,Standard,3.2
219,8/4/2023,70,4025,196,8,2,334,24,Visa,Standard,4.7
220,8/1/2023,176,4768,34,19,1,607,17,Apple Pay,Express,3.9
221,5/1/2023,151,6918,46,7,1,456,25,Mada,Same Day,4.2
222,2/12/2023,405,3299,131,9,5,752,11,Apple Pay,Same Day,4.8
223,7/28/2023,61,4665,249,16,2,692,22,Apple Pay,Standard,4.1
224,1/6/2025,491,2489,233,4,5,241,26,Mada,Standard,4.6
225,3/20/2024,82,3086,48,13,1,325,18,Apple Pay,Express,2.7
226,4/27/2023,476,1392,193,15,5,684,21,Mada,Standard,4.5
227,7/8/2024,476,9128,32,5,2,684,7,Cash On Delivery,Standard,4.2
228,4/5/2024,466,9964,4,5,3,457,28,Visa,Express,4.5
229,3/13/2023,217,9925,159,9,1,364,20,Apple Pay,Same Day,3.2
230,2/5/2024,400,4080,232,6,5,307,18,Cash On Delivery,Express,3.3
231,12/20/2024,9,4300,81,8,5,368,30,Apple Pay,Express,3.1
232,9/25/2023,244,5256,177,20,1,503,0,Mada,Standard,4.1
233,2/24/2025,336,7853,98,20,3,266,4,Cash On Delivery,Standard,3.1
234,1/26/2023,175,6275,121,19,1,329,27,Cash On Delivery,Express,3.1
235,1/29/2024,471,5243,267,6,4,704,26,Apple Pay,Same Day,3.9
236,2/3/2024,27,6410,92,10,5,481,16,Apple Pay,Express,4.9
237,1/26/2025,186,2989,281,12,3,473,0,Mada,Express,4.2
238,3/3/2025,58,5050,187,10,3,337,17,Visa,Same Day,4
239,1/11/2024,3,1718,229,9,1,330,25,Cash On Delivery,Express,4.9
240,1/9/2025,348,7407,69,6,1,763,14,Visa,Standard,4
241,6/26/2024,69,3951,177,9,5,674,18,Mada,Express,4.9
242,4/19/2023,107,856,91,1,3,288,7,Cash On Delivery,Express,3.8
243,4/9/2024,35,2824,29,5,5,481,19,Visa,Same Day,3.3
244,8/8/2023,183,7591,59,5,4,559,1,Mada,Same Day,4.4
245,3/26/2025,219,2961,109,7,1,874,5,Visa,Express,3.7
246,9/17/2024,220,2856,224,18,5,376,3,Apple Pay,Same Day,3.2
247,11/7/2023,83,5971,51,7,2,795,18,Visa,Standard,2.9
248,2/12/2024,319,2616,189,13,3,566,2,Apple Pay,Standard,4.8
249,11/8/2023,167,4866,17,19,5,457,2,Visa,Same Day,3.4
250,2/12/2025,107,7404,225,14,2,288,24,Apple Pay,Same Day,4.9
251,7/10/2024,479,7020,150,17,3,553,29,Visa,Same Day,3.6
252,5/12/2024,299,74,184,11,4,297,10,Mada,Standard,3.5
253,9/5/2024,188,9521,27,13,4,419,13,Visa,Same Day,2.7
254,9/23/2024,192,2251,300,1,3,605,27,Visa,Same Day,3.8
255,9/26/2023,2,6192,159,6,4,446,30,Cash On Delivery,Standard,3.4
256,12/6/2024,435,6512,280,2,3,576,13,Mada,Standard,4.9
257,5/31/2024,200,6084,113,17,2,179,1,Visa,Express,3.5
258,3/28/2025,391,2667,238,11,1,445,0,Apple Pay,Express,3.3
259,1/13/2023,57,2860,95,8,5,433,18,Visa,Same Day,4.2
260,9/7/2023,196,5312,69,16,4,537,30,Mada,Same Day,3.8
261,11/17/2024,135,1599,242,3,3,684,4,Visa,Same Day,3.4
262,1/17/2025,413,8949,287,20,2,252,10,Apple Pay,Standard,5
263,8/7/2024,117,9980,170,17,3,697,20,Mada,Same Day,4
264,5/27/2023,115,2187,179,20,3,323,17,Cash On Delivery,Standard,4.2
265,12/10/2024,41,724,67,1,5,250,2,Mada,Same Day,4.2
266,2/23/2025,387,1037,295,15,2,600,3,Mada,Same Day,4.7
267,1/27/2023,217,9250,123,7,4,364,17,Mada,Express,3.3
268,2/8/2025,2,6382,145,11,5,446,20,Mada,Standard,4.1
269,12/22/2024,461,5934,138,2,1,562,19,Cash On Delivery,Same Day,4.4
270,9/6/2024,107,4466,135,10,3,288,5,Mada,Express,4.3
271,4/13/2025,84,1472,9,17,3,593,28,Apple Pay,Standard,4.1
272,8/6/2024,487,591,209,11,3,703,26,Cash On Delivery,Standard,3.6
273,11/15/2023,167,1957,169,2,3,457,10,Mada,Standard,2.6
274,2/16/2025,105,7633,235,12,4,578,0,Cash On Delivery,Standard,5
275,11/17/2024,337,6943,16,13,1,715,18,Visa,Express,3
276,9/26/2023,187,9120,52,6,5,413,6,Cash On Delivery,Standard,3.3
277,7/5/2024,398,2624,185,19,3,469,15,Cash On Delivery,Standard,2.7
278,5/20/2023,210,6814,299,20,2,299,19,Mada,Same Day,3.5
279,3/21/2024,345,342,129,20,1,341,27,Apple Pay,Same Day,3.6
280,12/29/2023,10,1261,6,6,2,251,21,Apple Pay,Express,4.8
281,12/26/2024,391,6288,133,12,5,445,18,Mada,Same Day,4.9
282,9/25/2023,241,3190,106,9,5,623,17,Visa,Standard,4.2
283,8/3/2024,103,8388,105,16,3,465,22,Visa,Standard,4.2
284,5/24/2024,125,45,277,16,5,365,3,Mada,Standard,4.5
285,8/28/2023,353,7754,45,4,2,442,19,Visa,Standard,4.8
286,8/29/2023,107,2727,104,4,3,288,8,Mada,Standard,4.8
287,5/16/2024,7,8245,239,4,2,700,15,Cash On Delivery,Express,3.1
288,6/8/2024,262,1124,249,20,1,639,6,Apple Pay,Express,4.3
289,2/25/2023,426,5002,260,5,2,638,9,Visa,Standard,4.5
290,5/17/2024,123,8437,163,4,5,554,24,Mada,Same Day,4.7
291,4/2/2025,301,564,181,16,1,723,25,Visa,Express,4.2
292,6/7/2024,175,4828,9,1,2,329,5,Apple Pay,Same Day,4.4
293,3/30/2025,256,3657,23,4,5,546,27,Mada,Express,3.7
294,2/5/2023,347,3673,142,7,3,252,28,Mada,Same Day,4.3
295,12/25/2024,243,1489,294,6,3,329,15,Apple Pay,Express,3.1
296,2/23/2024,178,8206,267,4,2,668,5,Apple Pay,Express,2.7
297,12/6/2024,450,7971,172,5,5,398,19,Cash On Delivery,Standard,3.4
298,4/5/2023,148,6314,207,6,1,388,30,Cash On Delivery,Express,4.1
299,5/21/2023,214,1733,85,2,5,657,26,Apple Pay,Same Day,2.5
300,1/6/2025,430,5536,194,14,3,460,21,Apple Pay,Same Day,2.9
301,1/11/2025,295,5451,66,4,2,360,1,Mada,Express,3.1
302,12/1/2023,132,444,194,18,5,634,18,Apple Pay,Standard,2.7
303,8/22/2024,423,9724,270,10,5,608,8,Visa,Same Day,4.2
304,3/25/2024,370,2307,299,9,5,492,11,Visa,Same Day,4.6
305,9/14/2023,338,5024,29,10,4,350,4,Mada,Same Day,4.6
306,8/23/2024,211,32,119,19,3,566,30,Visa,Same Day,3.3
307,11/9/2023,447,6892,146,10,3,237,22,Visa,Same Day,3.3
308,11/21/2023,35,2206,150,11,2,481,22,Cash On Delivery,Same Day,3.4
309,8/23/2023,443,408,9,18,5,641,8,Apple Pay,Express,3.7
310,9/1/2023,286,9765,151,5,1,492,3,Apple Pay,Same Day,4.3
311,6/23/2024,317,3585,256,11,3,311,19,Apple Pay,Same Day,3.7
312,1/6/2024,459,4119,68,15,1,541,26,Apple Pay,Express,3.1
313,6/23/2024,85,3450,163,1,2,558,8,Mada,Express,3.2
314,5/30/2023,71,714,93,8,4,358,14,Visa,Express,4
315,11/21/2024,177,852,111,16,1,288,27,Cash On Delivery,Express,2.9
316,4/11/2024,306,3437,286,18,4,486,7,Visa,Express,2.7
317,7/13/2023,1,7538,272,11,5,212,11,Visa,Standard,4.8
318,6/12/2023,457,1436,92,14,2,690,16,Visa,Same Day,4.7
319,12/21/2023,373,8314,32,18,5,337,18,Mada,Standard,2.8
320,5/3/2023,52,8142,139,6,5,741,26,Apple Pay,Same Day,2.8
321,7/14/2023,329,3285,2,14,3,762,21,Visa,Same Day,3
322,7/31/2024,159,7435,101,7,3,653,22,Mada,Standard,3.6
323,4/28/2025,321,9259,7,9,1,464,21,Apple Pay,Express,3.2
324,9/19/2024,142,1328,101,2,1,364,21,Cash On Delivery,Express,2.8
325,10/25/2024,99,3726,114,5,3,627,0,Cash On Delivery,Express,3.3
326,1/24/2025,246,466,258,8,5,369,29,Cash On Delivery,Express,4.7
327,9/26/2024,43,8843,86,12,4,245,30,Cash On Delivery,Standard,5
328,8/5/2024,26,8244,76,10,1,283,26,Apple Pay,Same Day,4.4
329,6/30/2023,144,612,149,20,3,785,14,Cash On Delivery,Standard,4
330,4/15/2025,418,8855,40,12,2,448,6,Mada,Express,4.8
331,8/13/2024,290,5847,238,16,5,236,3,Cash On Delivery,Same Day,3.4
332,2/19/2023,469,863,29,4,5,255,11,Visa,Same Day,4.9
333,2/4/2024,385,969,74,15,4,329,3,Apple Pay,Express,2.7
334,4/5/2023,71,402,174,16,3,358,1,Mada,Express,3.5
335,11/16/2023,211,3919,276,12,4,566,18,Cash On Delivery,Standard,3.1
336,10/3/2023,139,5999,231,3,5,625,16,Mada,Same Day,3.1
337,8/29/2024,25,1275,91,4,2,433,17,Apple Pay,Express,3.5
338,4/25/2025,437,1855,243,5,3,486,2,Apple Pay,Standard,4.2
339,2/23/2023,479,2527,17,7,1,553,12,Apple Pay,Express,3.6
340,11/20/2024,186,4831,19,13,4,473,17,Apple Pay,Standard,3.4
341,11/30/2023,443,4610,79,19,2,641,27,Cash On Delivery,Same Day,4.9
342,8/16/2023,387,1260,143,16,4,600,13,Mada,Same Day,3.4
343,12/13/2023,461,3692,28,7,4,562,11,Visa,Express,4.6
344,3/23/2024,105,6950,226,6,3,578,14,Cash On Delivery,Standard,4.6
345,3/17/2023,86,8078,210,16,4,756,9,Cash On Delivery,Standard,2.5
346,2/13/2025,413,2340,183,11,2,252,9,Apple Pay,Standard,2.6
347,1/11/2024,306,4735,219,9,2,486,19,Cash On Delivery,Standard,2.6
348,9/24/2024,140,6524,118,16,1,340,1,Apple Pay,Same Day,4.6
349,8/16/2023,412,1133,262,20,4,481,3,Cash On Delivery,Express,2.8
350,9/9/2024,195,6071,176,8,5,233,5,Mada,Express,4.4
351,9/19/2023,328,80,163,9,2,593,2,Visa,Express,4.2
352,3/18/2025,134,997,110,15,5,419,22,Cash On Delivery,Standard,2.6
353,6/23/2024,412,6050,263,8,3,481,28,Visa,Standard,4.1
354,11/25/2023,487,4308,115,14,3,703,20,Cash On Delivery,Same Day,4.4
355,9/24/2023,230,2179,295,19,4,199,11,Visa,Express,4.1
356,1/29/2024,332,8687,30,10,2,465,5,Cash On Delivery,Same Day,3.5
357,12/2/2023,131,1012,300,16,5,479,25,Cash On Delivery,Standard,4.7
358,2/20/2025,448,5201,221,16,2,781,7,Mada,Standard,2.8
359,3/25/2024,272,8560,3,18,4,356,21,Visa,Same Day,2.8
360,2/27/2024,434,7903,114,6,3,759,2,Apple Pay,Same Day,3.3
361,1/9/2023,111,2407,225,4,1,320,23,Visa,Standard,4.1
362,5/12/2024,98,5749,163,3,5,424,14,Mada,Same Day,3
363,1/21/2024,93,1251,22,19,2,187,7,Mada,Express,3.2
364,9/28/2024,414,7904,209,9,1,678,5,Visa,Express,4.1
365,6/27/2024,109,233,219,16,3,504,12,Apple Pay,Express,4.3
366,2/10/2023,396,1161,269,19,3,423,30,Mada,Same Day,2.7
367,1/29/2023,98,7536,18,8,4,424,3,Visa,Same Day,4.6
